title,description,artist,culture,country,teaserText,url,image,regularImage,largeImage,period,date,medium,general medium,accessionNumber,galleryInformation
Baby with Rattle and Dog,Attributed to Mrs. Moses B. Russell (Clarissa Peters) (1809-1854),,American,America,Attributed to Mrs. Moses B. Russell (Clarissa Peters) (1809-1854) Date: 1842<br/>Accession Number: 1999.6,/art/collection/search/16450?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=24,https://images.metmuseum.org/CRDImages/ad/mobile-large/DT4353.jpg,ad/web-additional/DT4353.jpg,ad/web-large/DT4353.jpg,1842,19th century,Watercolor and gouache on ivory,Watercolor and gouache on ivory,1999.6,Not on view
"Bacchus standing in a niche holding grapes in his raised right hand, fruit in his left hand, a dog lower right","Marco Dente (Italian, Ravenna, active by 1515-died 1527 Rome)",Marco Dente,,unknown,"Marco Dente (Italian, Ravenna, active by 1515-died 1527 Rome) Date: ca. 1515-27<br/>Accession Number: 26.50.1(74)",/art/collection/search/342498?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=25,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP818699.jpg,dp/web-additional/DP818699.jpg,dp/web-large/DP818699.jpg,ca. 1515-27,16th century,Engraving,Engraving,26.50.1(74),Not on view
"Bacchus standing in a niche holding grapes in his raised right hand, fruit in his left hand, a dog lower right","Marco Dente (Italian, Ravenna, active by 1515-died 1527 Rome)",Marco Dente,,unknown,"Marco Dente (Italian, Ravenna, active by 1515-died 1527 Rome) Date: ca. 1515-27<br/>Accession Number: 17.50.16-66",/art/collection/search/342493?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=26,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP818714.jpg,dp/web-additional/DP818714.jpg,dp/web-large/DP818714.jpg,ca. 1515-27,16th century,Engraving,Engraving,17.50.16-66,Not on view
"Banquet of the Piacevoli, various men are seated at long tables around the perimeter of a large room, a man seated to the right giving a dog table scraps, curtains are draped around the image, Medici coat of arms at top center","Stefano della Bella (Italian, Florence 1610-1664 Florence)",Stefano della Bella,,unknown,"Stefano della Bella (Italian, Florence 1610-1664 Florence) Date: 1627<br/>Accession Number: 2012.136.448",/art/collection/search/410397?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=27,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP833270.jpg,dp/web-additional/DP833270.jpg,dp/web-large/DP833270.jpg,1627,17th century,Etching,Etching,2.012.136.448,Not on view
"""Barney"" The Irish Terrier from Cowan""s Dog Pictures (V13)","Cowan Company, Limited (Canadian, 1893-1926)","Cowan Company, Limited",,unknown,"Cowan Company, Limited (Canadian, 1893-1926) Date: ca. 1929<br/>Accession Number: Burdick 335, V13.15",/art/collection/search/840154?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=28,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1929,20th century,Commercial color photolithograph,Commercial color photolithograph,"Burdick 335, V13.15",Not on view
"[Bear and dog in clothing], Pet Cigarettes from Allen &amp; Ginter Advertising Cards (HP1a)","Allen &amp; Ginter (American, Richmond, Virginia)",Allen & Ginter,,unknown,"Allen &amp; Ginter (American, Richmond, Virginia) Date: 1880s<br/>Accession Number: Burdick 5, HP1a.22",/art/collection/search/854209?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=29,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1880s,19th century,Commercial color lithograph,Commercial color lithograph,"Burdick 5, HP1a.22",Not on view
Beware of the Dog,"Samuel L. Margolies (American, New York 1897-1974 Fort Pierce, Florida)",Samuel L. Margolies,,unknown,"Samuel L. Margolies (American, New York 1897-1974 Fort Pierce, Florida) Date: 20th century<br/>Accession Number: 54.647.16",/art/collection/search/357481?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=30,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,20th century,20th century,Drawing,Drawing,54.647.16,Not on view
Beware of the Dog,"Samuel L. Margolies (American, New York 1897-1974 Fort Pierce, Florida)",Samuel L. Margolies,,unknown,"Samuel L. Margolies (American, New York 1897-1974 Fort Pierce, Florida) Date: 1915-54<br/>Accession Number: 54.647.17",/art/collection/search/357482?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=31,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1915-54,20th century,"Etching and drypoint, second and final state",Etching and drypoint,54.647.17,Not on view
Black Dog Inn Yard At Belfont,"Thomas Rowlandson (British, London 1757-1827 London)",Thomas Rowlandson,,unknown,"Thomas Rowlandson (British, London 1757-1827 London) Date: January 1, 1794<br/>Accession Number: 56.567.32",/art/collection/search/738920?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=32,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP872138.jpg,dp/web-additional/DP872138.jpg,dp/web-large/DP872138.jpg,"January 1, 1794",18th century,Etching,Etching,56.567.32,Not on view
Black Dog Inn Yard At Belfont,"Thomas Rowlandson (British, London 1757-1827 London)",Thomas Rowlandson,,unknown,"Thomas Rowlandson (British, London 1757-1827 London) Date: 1785-87<br/>Accession Number: 59.533.1705",/art/collection/search/738916?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=33,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP872139.jpg,dp/web-additional/DP872139.jpg,dp/web-large/DP872139.jpg,1785-87,18th century,Hand-colored etching,Hand-colored etching,595.331.705,Not on view
Blind beggar with sitting dog,"Pietro Faccini (Italian, Bologna ca. 1562-1602 Bologna)",Pietro Faccini,,unknown,"Pietro Faccini (Italian, Bologna ca. 1562-1602 Bologna) Date: 1590-1600<br/>Accession Number: 17.3.1816",/art/collection/search/830042?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=34,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1590-1600,16th century,Etching,Etching,17.3.1816,Not on view
"Blood Hound from Cowan""s Dog Pictures (V13)","Cowan Company, Limited (Canadian, 1893-1926)","Cowan Company, Limited",,unknown,"Cowan Company, Limited (Canadian, 1893-1926) Date: ca. 1929<br/>Accession Number: Burdick 335, V13.22",/art/collection/search/840165?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=35,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1929,20th century,Commercial color photolithograph,Commercial color photolithograph,"Burdick 335, V13.22",Not on view
Bloodhound from Our Friend - the Dog Educational Pictures (W608-4),,,,unknown,Date: ca. 1950-55<br/>Accession Number: 63.350.536.608.4.9,/art/collection/search/814545?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=36,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882427.jpg,dp/web-additional/DPB882427.jpg,dp/web-large/DPB882427.jpg,ca. 1950-55,20th century,Commercial color photolithograph,Commercial color photolithograph,63.350.536.608.4.9,Not on view
"Boarhound from Cowan""s Dog Pictures (V22)","Cowan Company, Limited (Canadian, 1893-1926)","Cowan Company, Limited",,unknown,"Cowan Company, Limited (Canadian, 1893-1926) Date: ca. 1920-29<br/>Accession Number: Burdick 335, V22.1",/art/collection/search/841076?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=37,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1920-29,20th century,Commercial color photolithograph,Commercial color photolithograph,"Burdick 335, V22.1",Not on view
Bolognese dog,"Meissen Manufactory (German, 1710-present)",Meissen Manufactory,"German, Meissen",Germany,"Meissen Manufactory (German, 1710-present) Date: ca. 1733<br/>Accession Number: 1974.356.416",/art/collection/search/205968?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=38,https://images.metmuseum.org/CRDImages/es/mobile-large/205134.jpg,es/web-additional/205134.jpg,es/web-large/205134.jpg,ca. 1733,18th century,Hard-paste porcelain,Hard-paste porcelain,1.974.356.416,Not on view
Bolognese dog,"Meissen Manufactory (German, 1710-present)",Meissen Manufactory,"German, Meissen",Germany,"Meissen Manufactory (German, 1710-present) Date: ca. 1733<br/>Accession Number: 54.147.69",/art/collection/search/201771?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=39,https://images.metmuseum.org/CRDImages/es/mobile-large/DP132915.jpg,es/web-additional/DP132915.jpg,es/web-large/DP132915.jpg,ca. 1733,18th century,Hard-paste porcelain,Hard-paste porcelain,54.147.69,Not on view
The Bone of Contention or the English Bull Dog and the Corsican Monkey,"Charles Williams (British, active 1797-1830)",Charles Williams,,unknown,"Charles Williams (British, active 1797-1830) Date: June 14, 1803<br/>Accession Number: 59.533.895",/art/collection/search/392573?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=40,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP818517.jpg,dp/web-additional/DP818517.jpg,dp/web-large/DP818517.jpg,"June 14, 1803",19th century,Hand-colored etching,Hand-colored etching,59.533.895,Not on view
"Boston Bull from Cowan""s Dog Pictures (V13)","Cowan Company, Limited (Canadian, 1893-1926)","Cowan Company, Limited",,unknown,"Cowan Company, Limited (Canadian, 1893-1926) Date: ca. 1929<br/>Accession Number: Burdick 335, V13.16",/art/collection/search/840155?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=41,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,ca. 1929,20th century,Commercial color photolithograph,Commercial color photolithograph,"Burdick 335, V13.16",Not on view
Boston Terrier from Our Friend - the Dog Educational Pictures (W608-4),,,,unknown,Date: ca. 1950-55<br/>Accession Number: 63.350.536.608.4.1,/art/collection/search/814529?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=42,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882419.jpg,dp/web-additional/DPB882419.jpg,dp/web-large/DPB882419.jpg,ca. 1950-55,20th century,Commercial color photolithograph,Commercial color photolithograph,63.350.536.608.4.1,Not on view
Bottle in the shape of a dog,Nasca artist (s),Nasca artist(s),Nasca,Peru,Nasca artist(s)Date: 1-600 CE<br/>Accession Number: 1988.281.2,/art/collection/search/316177?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=43,https://images.metmuseum.org/CRDImages/ao/mobile-large/DP-24252-001.jpg,ao/web-additional/DP-24252-001.jpg,ao/web-large/DP-24252-001.jpg,1-600 CE,1st century,"Ceramic, slip",Ceramic,1988.281.2,Not on view
Bowl Containing a Dog and a Cat,"Paul Flindt (German, Nuremberg before 1567-after 1631 Nuremberg)",Paul Flindt,,unknown,"Paul Flindt (German, Nuremberg before 1567-after 1631 Nuremberg) Date: 1611<br/>Accession Number: 53.600.37 (3)",/art/collection/search/782078?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=44,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1611,17th century,Etching,Etching,53.600.37 (3),Not on view
Boxer from Our Friend - the Dog Educational Pictures (W608-4),,,,unknown,Date: ca. 1950-55<br/>Accession Number: 63.350.536.608.4.23,/art/collection/search/814563?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=45,https://images.metmuseum.org/CRDImages/dp/mobile-large/DPB882441.jpg,dp/web-additional/DPB882441.jpg,dp/web-large/DPB882441.jpg,ca. 1950-55,20th century,Commercial color photolithograph,Commercial color photolithograph,63.350.536.608.4.23,Not on view
Boy and Dog,"Edouard Manet (French, Paris 1832-1883 Paris)",Edouard Manet,,unknown,"Edouard Manet (French, Paris 1832-1883 Paris) Date: 1862<br/>Accession Number: 21.76.7",/art/collection/search/337448?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=46,https://images.metmuseum.org/CRDImages/dp/mobile-large/DP815300.jpg,dp/web-additional/DP815300.jpg,dp/web-large/DP815300.jpg,1862,19th century,"Etching and aquatint, final state (III), on blue laid paper",Etching and aquatint,21.76.7,Not on view
Boy and His Dog,"Arnold Newman (American, New York 1918-2006 New York)",Arnold Newman,,unknown,"Arnold Newman (American, New York 1918-2006 New York) Date: 1947<br/>Accession Number: 56.578.10",/art/collection/search/269858?&searchField=Title&sortBy=Title&ft=dog&offset=0&rpp=100&amp;pos=47,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/NoImageAvailableIcon.png,/content/img/placeholders/noimage534x534.png,1947,20th century,Gelatin silver print,Gelatin silver print,56.578.10,Not on view
